DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
85,2.55571
156,3.0616039999999995
12,21.623278
48,2.55571
69,2.55571
44,2.55571
3,2.507974
75,2.55571
158,3.2321959999999996
66,2.55571
73,2.55571
155,2.507974
11,153.180794
135,2.55571
58,2.55571
37,2.55571
59,2.55571
83,2.55571
120,2.55571
99,2.55571
84,2.55571
139,2.55571
54,2.55571
147,2.55571
55,2.55571
121,2.507974
136,2.55571
32,2.55571
43,2.55571
95,2.55571
77,2.55571
161,5.115390999999999
110,2.55571
80,2.55571
63,2.55571
51,2.55571
91,3.115208
94,2.55571
153,2.55571
29,2.55571
49,2.55571
6,2.55571
124,2.55571
104,2.55571
50,2.55571
152,2.55571
111,2.55571
142,2.55571
131,2.55571
115,4.74033
159,5.042514
1,2.55571
105,2.55571
64,2.55571
122,2.55571
24,2.55571
163,7.2846459999999995
46,2.55571
14,20.881166
127,2.55571
53,3.018612
25,2.55571
74,2.55571
15,4.74033
78,2.55571
26,2.55571
145,2.55571
102,2.55571
162,3.19947
118,153.180794
92,2.55571
130,2.55571
93,2.55571
146,2.55571
126,2.55571
13,20.086064999999998
41,2.55571
52,2.55571
143,2.55571
116,2.507974
36,2.55571
22,2.55571
8,153.180794
98,2.55571
90,2.55571
4,2.55571
34,2.55571
125,141.48091300000002
160,5.042514
106,2.55571
45,2.55571
31,2.55571
30,2.55571
154,2.55571
134,2.55571
35,2.55571
103,2.55571
101,2.55571
96,2.55571
71,2.55571
20,2.659462
65,2.55571
97,2.55571
61,2.55571
140,2.55571
21,2.659462
151,4.74033
67,2.55571
123,25.768065999999997
141,2.55571
88,2.55571
89,2.55571
149,2.55571
5,141.155481
57,2.55571
132,2.55571
148,2.55571
150,2.55571
47,2.55571
87,2.55571
38,2.55571
82,2.55571
108,8.131564000000001
16,4.74033
40,2.55571
112,2.55571
109,2.55571
33,2.55571
62,2.55571
68,2.55571
129,2.55571
113,2.55571
10,153.180794
42,2.55571
117,2.507974
114,140.03805300000002
39,2.55571
2,5.596711999999999
100,2.55571
128,2.55571
79,2.55571
17,2.55571
23,2.55571
76,2.55571
7,2.55571
19,21.048141
9,153.180794
18,2.55571
138,2.55571
133,2.55571
86,2.55571
144,2.55571
137,2.55571
81,2.55571
56,2.55571
27,2.55571
72,2.55571
60,2.55571
119,2.55571
107,2.55571
70,2.55571
157,119.40038950000002
28,2.55571
