DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
139,18.93751
46,18.93751
6,18.93751
47,18.93751
57,18.93751
161,71.96575800000001
120,18.93751
31,18.93751
9,93.69963100000001
1,18.93751
27,18.93751
66,18.93751
148,23.780739999999998
77,18.93751
74,18.93751
160,33.21647
49,18.93751
114,180.78760400000004
113,18.93751
50,18.93751
19,67.69897999999999
123,89.39177000000002
72,18.93751
12,67.69897999999999
149,21.55441
138,18.93751
58,18.93751
43,18.93751
84,18.93751
3,20.65271
64,19.917717
73,18.93751
65,18.93751
153,18.93751
121,20.65271
90,18.93751
70,18.93751
154,22.0023
98,18.93751
20,18.93751
147,21.55441
152,18.93751
53,18.93751
95,18.93751
144,18.93751
159,33.21647
126,18.93751
81,18.93751
97,18.93751
2,25.510329000000002
45,18.93751
44,18.93751
83,18.93751
158,35.75666
11,103.65616100000001
143,18.93751
7,18.93751
15,18.93751
112,18.93751
119,18.93751
68,18.93751
56,18.93751
102,18.93751
91,18.93751
117,24.93217
111,18.93751
116,24.93217
86,18.93751
146,18.93751
51,18.93751
150,21.55441
75,18.93751
39,18.93751
21,29.96726
36,18.93751
30,18.93751
24,18.93751
137,18.93751
78,18.93751
79,18.93751
128,18.93751
124,18.93751
115,18.93751
13,36.34151
41,18.93751
96,18.93751
142,18.93751
118,93.69963100000001
108,61.067928
107,18.93751
55,22.94454
87,18.93751
8,93.69963100000001
103,18.93751
156,22.811429999999998
35,18.93751
40,18.93751
101,23.746930000000003
42,18.93751
4,18.93751
94,18.93751
145,18.93751
71,18.93751
88,18.93751
157,299.5376110000001
131,18.93751
59,18.93751
54,18.93751
10,93.69963100000001
110,18.93751
122,18.93751
89,18.93751
134,18.93751
60,18.93751
17,32.00382
37,18.93751
127,18.93751
136,18.93751
85,18.93751
133,18.93751
93,18.93751
26,18.93751
67,18.93751
22,18.93751
14,67.69897999999999
28,18.93751
92,18.93751
76,18.93751
162,22.49209
104,18.93751
100,23.746930000000003
132,18.93751
38,18.93751
135,18.93751
82,18.93751
99,18.93751
163,27.620337999999997
141,18.93751
25,18.93751
34,18.93751
29,18.93751
140,18.93751
69,18.93751
5,181.86859400000006
61,18.93751
23,18.93751
63,18.93751
125,185.36249400000005
80,18.93751
18,20.929679000000004
48,18.93751
155,23.47713
130,18.93751
52,18.93751
151,18.93751
62,18.93751
32,18.93751
109,18.93751
105,18.93751
106,18.93751
33,18.93751
16,18.93751
129,18.93751
