DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
18,27.669732000000003
45,25.07624
10,93.42196999999999
51,25.07624
114,150.10280999999998
100,37.53520700000001
44,25.07624
19,79.88259
31,25.07624
138,25.07624
16,33.234089999999995
123,71.26213
52,25.07624
106,25.07624
14,79.88259
109,25.07624
119,23.989199999999997
56,25.07624
113,25.07624
22,26.696460000000002
112,25.07624
47,25.07624
73,25.07624
128,25.07624
53,25.07624
43,25.07624
116,20.80424
139,25.07624
155,18.37227
148,25.636319999999998
74,25.07624
154,23.989199999999997
1,25.07624
61,25.07624
141,25.07624
146,25.07624
111,25.07624
71,25.07624
131,25.07624
121,14.40082
76,25.07624
77,25.07624
120,23.989199999999997
5,149.82379999999998
69,25.07624
34,25.07624
108,157.67844
57,25.07624
158,24.66199
82,25.07624
83,25.07624
87,25.07624
86,25.07624
65,25.07624
11,102.11332
145,25.07624
75,25.07624
7,25.07624
127,25.07624
135,25.07624
63,25.07624
27,25.07624
157,260.54968899999994
134,25.07624
72,25.07624
94,25.07624
60,25.07624
101,37.53520700000001
136,25.07624
88,25.07624
8,93.42196999999999
137,25.07624
21,37.780958
133,25.07624
28,25.07624
48,25.07624
130,25.07624
13,30.250989999999998
33,25.07624
20,31.515887999999997
2,35.10575
162,27.05592
35,25.07624
80,25.07624
126,25.07624
3,14.40082
85,25.07624
55,31.462670000000003
144,25.07624
68,25.07624
23,26.789340000000003
89,25.07624
161,67.5955
26,25.07624
149,23.989199999999997
37,25.07624
78,25.07624
125,149.01022999999998
38,25.07624
99,25.07624
147,23.989199999999997
97,25.07624
93,25.07624
95,25.07624
4,25.07624
54,25.07624
107,25.07624
132,25.07624
90,25.07624
67,25.07624
160,17.4913
15,33.234089999999995
143,25.07624
153,26.713680000000004
32,25.07624
151,35.129439999999995
62,25.07624
122,25.399859999999997
59,25.07624
117,18.48014
103,25.07624
124,25.399859999999997
46,25.07624
140,25.07624
58,25.07624
9,93.42196999999999
6,25.07624
70,25.07624
30,26.22547
105,25.07624
36,25.07624
42,25.07624
96,25.07624
104,25.07624
66,25.07624
115,33.234089999999995
129,25.07624
49,25.07624
92,25.07624
84,25.07624
12,79.88259
64,25.07624
25,25.07624
50,25.07624
24,25.07624
152,25.07624
40,25.07624
98,25.07624
17,28.222279999999998
39,25.07624
159,17.98524
118,93.42196999999999
81,25.07624
29,25.07624
150,23.989199999999997
91,25.07624
142,25.07624
156,26.377489999999998
110,25.07624
102,25.07624
41,25.07624
79,25.07624
163,26.088389999999997
