DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
88,17.567511
145,17.567511
127,17.567511
32,17.567511
152,17.567511
47,17.567511
67,17.567511
107,17.567511
163,117.405405
154,19.788290999999997
108,42.777359
49,17.567511
146,19.901550999999998
130,17.567511
83,17.567511
68,17.567511
160,74.444574
37,17.567511
34,17.567511
56,17.567511
17,22.673900999999997
143,17.567511
43,17.567511
123,110.29481200000001
151,20.379420999999997
91,17.567511
106,17.567511
8,265.18121600000006
21,25.811550999999998
133,17.567511
61,17.567511
150,19.788290999999997
13,83.482009
142,17.567511
44,17.567511
153,17.567511
141,17.567511
20,19.47583
84,17.567511
31,17.567511
16,18.118260999999997
12,101.66673200000001
135,17.567511
15,18.118260999999997
110,17.567511
111,17.692663
129,17.567511
124,17.567511
39,18.841851
9,265.18121600000006
24,17.567511
138,17.567511
27,17.567511
101,29.203910999999998
63,17.567511
116,76.052865
134,17.567511
82,17.567511
22,17.567511
78,17.567511
90,17.567511
60,17.567511
102,17.567511
10,265.18121600000006
140,17.567511
121,73.911635
65,17.567511
18,17.567511
77,17.567511
98,17.567511
122,17.567511
117,76.052865
48,17.567511
79,17.692663
100,29.203910999999998
97,17.567511
99,17.567511
89,17.567511
115,18.118260999999997
85,17.567511
128,17.567511
53,17.567511
81,17.567511
38,17.567511
54,17.567511
136,17.567511
19,102.368031
46,17.567511
14,101.66673200000001
35,17.567511
45,17.567511
80,17.567511
161,99.236951
28,17.567511
162,17.996018999999997
57,17.567511
4,17.567511
51,17.567511
36,17.567511
52,17.567511
157,182.03710600000002
3,73.911635
1,17.567511
26,17.567511
109,17.692663
33,17.567511
112,17.692663
119,17.567511
120,17.567511
62,17.567511
158,93.391555
144,17.567511
139,17.567511
86,17.567511
7,17.567511
66,17.567511
40,17.567511
64,17.567511
104,17.567511
132,17.567511
105,17.567511
30,17.800169
73,17.567511
137,17.567511
156,75.20350499999999
59,17.567511
114,106.05747600000001
5,106.424737
125,105.93444099999999
41,17.567511
94,17.567511
148,19.788290999999997
126,19.880041
159,74.816475
70,17.567511
87,17.567511
29,17.567511
92,17.567511
76,17.567511
147,19.788290999999997
71,17.567511
23,17.567511
96,17.567511
118,265.18121600000006
95,17.567511
25,17.567511
75,17.567511
42,17.567511
113,17.567511
69,17.567511
6,17.567511
58,17.567511
2,23.722851
155,74.151395
55,18.898791
93,17.567511
74,17.567511
11,265.18121600000006
149,19.788290999999997
72,17.567511
103,17.567511
131,17.567511
50,17.567511
